"Title","Author","Download_link","Download_nb","Created","Updated","Size","Game_Version","Flavor","Tags"
"Ryan's Zombies","Nice_Try_Boi","/minecraft/mc-mods/ryans-zombies/download/4661098","84.8K","Jun 24, 2023","Jul 24, 2023","380.17 KB","1.19.4","Forge","Mods, Adventure and RPG, Mobs"
"Persistent Inventory Search","Serilum","/minecraft/mc-mods/persistent-inventory-search/download/4976256","14.6K","Jun 24, 2023","Dec 22, 2023","19.45 KB","1.20.4","Fabric Quilt NeoForge Forge + 3","Mods, Utility & QoL"
"Friend Api","SmushyTaco","/minecraft/mc-mods/friend-api/download/4606432","63","Jun 24, 2023","Jun 24, 2023","3.62 MB","1.20.1","Fabric","Mods, API and Library"
"Sol's Origin Addon","Sol","/minecraft/mc-mods/sols-elyrite-mod/download/4729664","1.0K","Jun 24, 2023","Aug 30, 2023","74.88 KB","1.19.2","Forge","Mods, MCreator, Armor, Tools, and Weapons, Utility & QoL"
"Simple Mini-Portal","dumbwaysi5","/minecraft/mc-mods/simple-mini-portal/download/4606244","180","Jun 23, 2023","Jun 23, 2023","349.18 KB","1.16.5","Forge","Mods, Armor, Tools, and Weapons, Adventure and RPG, Utility & QoL"
"Simple Ruby","xfillx_","/minecraft/mc-mods/xfillxs-ruby-mod/download/4606151","41","Jun 23, 2023","Jun 23, 2023","53.19 KB","1.19.4","Forge","Mods, Armor, Tools, and Weapons, Ores and Resources, MCreator"
"Meteor Hell Mod","unaistudio","/minecraft/mc-mods/meteor-hell/download/4606230","203","Jun 23, 2023","Jun 23, 2023","53.53 KB","1.19.2","Forge","Mods, Magic, Miscellaneous, Server Utility, Cosmetic"
"Iyot's Hammer","Rawr_The_Dinosawr","/minecraft/mc-mods/iyots-hammer/download/4606090","40","Jun 23, 2023","Jun 23, 2023","62.47 KB","1.16.5","Forge","Mods, Armor, Tools, and Weapons, MCreator"
"Kello's Additions","Kello","/minecraft/mc-mods/kellos-additions/download/4606086","1.2K","Jun 23, 2023","Jun 23, 2023","726.85 KB","1.20.1","Forge","Mods, Adventure and RPG, Mobs, Structures"
"Elixirs","Byakkos","/minecraft/mc-mods/elixirs/download/5083348","982","Jun 23, 2023","Feb 5, 2024","718.26 KB","1.20.1","Forge","Mods, Adventure and RPG, Food, Adventure and RPG, Food"
"Mobs Info","kuba6000","/minecraft/mc-mods/mobs-info/download/5002152","1.1K","Jun 23, 2023","Jan 2, 2024","351.71 KB","1.7.10","Forge","Mods, Utility & QoL, API and Library, Mobs, Addons"
"Amethyst Music Player","NorthWestWindNWW","/minecraft/mc-mods/amethyst-music-player/download/4606557","181","Jun 23, 2023","Jun 24, 2023","34.40 KB","1.20.1","Quilt Fabric + 1","Mods, Miscellaneous, Cosmetic, Utility & QoL"
"Hybrid Flowers","Moonrez","/minecraft/mc-mods/hybrid-flowers/download/4755534","1.6K","Jun 18, 2023","Sep 17, 2023","343.99 KB","1.18.2","Forge","Mods, Cosmetic, Food, Farming"
"Project Yellow","The_Lemon_Juiced","/minecraft/mc-mods/project-yellow/download/4716138","604","Jun 18, 2023","Aug 22, 2023","405.37 KB","1.20.1","NeoForge Forge + 1","Mods, Cosmetic, World Gen, Ores and Resources, Armor, Tools, and Weapons, Technology"
"Sweet Server content","bob325_","/minecraft/mc-mods/sweet/download/4634121","368","Jun 18, 2023","Jul 9, 2023","483.96 KB","1.19.2","Fabric","Mods, Addons, Cosmetic"
"Miraculous Craft","Cruell","/minecraft/mc-mods/miraculous-craft/download/4886883","1.0K","Jun 18, 2023","Nov 21, 2023","3.08 MB","1.19.2","Forge","Mods, Armor, Tools, and Weapons, Magic"
"Ameliored Fight","Mathislabrute","/minecraft/mc-mods/ameliored-fight/download/4593759","57","Jun 17, 2023","Jun 17, 2023","38.67 KB","1.19.2","Forge","Mods, Armor, Tools, and Weapons, Utility & QoL"
"More Copper (Enhancements)","phantomsoldier2020","/minecraft/mc-mods/more-copper-enhancements/download/4593753","115","Jun 17, 2023","Jun 17, 2023","62.45 KB","1.19.4","Forge","Mods, Armor, Tools, and Weapons, MCreator"
"Old MC Logo","IThundxr","/minecraft/mc-mods/old-mc-logo/download/4988588","6.4K","Jun 17, 2023","Dec 28, 2023","255.65 KB","1.20.4","NeoForge","Mods, Cosmetic, Utility & QoL"
