"Title","Author","Download_link","Download_nb","Created","Updated","Size","Game_Version","Flavor","Tags"
"Castle And Hustle","tankist_razrab1337","/minecraft/mc-mods/castle-and-hustle/download/4612216","17.3K","May 9, 2023","Jun 27, 2023","1.24 MB","1.19.2","Forge","Mods, Adventure and RPG, Structures, Mobs"
"cat_jam","shmove","/minecraft/mc-mods/cat_jam/download/4776161","768.9K","May 8, 2023","Sep 30, 2023","41.94 KB","1.20.4","Fabric","Mods, Mobs, Cosmetic"
"Yvain's Grotesque fish [Hiatus]","Yvain","/minecraft/mc-mods/yvains-grotesque-fish/download/4528932","144","May 8, 2023","May 8, 2023","80.43 KB","1.19.4","Fabric","Mods, Miscellaneous, Food"
"Better UPCs","msandro","/minecraft/mc-mods/better-upcs/download/4528618","9.4K","May 8, 2023","May 8, 2023","83.44 KB","1.18.2","Fabric","Mods, Energy, Technology"
"Fight and Food","thenoob5566","/minecraft/mc-mods/fight-food-mod/download/4533141","605","May 8, 2023","May 11, 2023","2.09 MB","1.19.2","Forge","Mods, Food, Armor, Tools, and Weapons, Addons"
"Missile Mayhem","Ryftex","/minecraft/mc-mods/missile-mayhem/download/4777118","2.1K","May 8, 2023","Oct 1, 2023","4.63 MB","1.20.1","Forge","Mods, Technology, World Gen, Energy, Fluid, and Item Transport, Armor, Tools, and Weapons"
"Overpowered Legendary Weapons","bartun2010","/minecraft/mc-mods/the-strongest-weapons-in-the-world/download/4872748","10.5K","May 8, 2023","Nov 16, 2023","1.17 MB","1.20.1","Forge","Mods, Magic, Adventure and RPG, MCreator, Armor, Tools, and Weapons"
"Custom World Icons","iamaprogramer","/minecraft/mc-mods/custom-world-icons/download/4600258","1.2K","May 8, 2023","Jun 21, 2023","5.73 MB","1.20.1","Fabric","Mods, Cosmetic, Utility & QoL"
"More Ores To Find","dragonfirry","/minecraft/mc-mods/more-ores-to-find/download/4716264","2.4K","May 8, 2023","Aug 22, 2023","96.95 KB","1.20.1","Forge","Mods, Redstone, Ores and Resources, Armor, Tools, and Weapons"
"Craft No Yaiba","clozyfps","/minecraft/mc-mods/craft-no-yaiba/download/4832699","25.4K","May 8, 2023","Nov 1, 2023","8.12 MB","1.19.2","Forge","Mods, MCreator, Armor, Tools, and Weapons, Magic, Adventure and RPG, Mobs"
"YoTos Custom Tools","kingusbingus4","/minecraft/mc-mods/yotos-custom-tools/download/4763755","318","May 8, 2023","Sep 22, 2023","8.51 MB","1.20.1","Forge","Mods, Armor, Tools, and Weapons, Adventure and RPG"
"Element of Metal","Uranium","/minecraft/mc-mods/element-of-metal/download/4542676","257","May 8, 2023","May 18, 2023","960.21 KB","1.19.2","Forge","Mods, Ores and Resources, Armor, Tools, and Weapons, MCreator"
"Random Crafting","Viola_Siemens","/minecraft/mc-mods/random-crafting/download/4742603","9.0K","May 8, 2023","Sep 7, 2023","222.08 KB","1.20.1","Forge","Mods, Utility & QoL, Server Utility, Adventure and RPG"
"Shell Friends (Tortoises)","bleepingbunny","/minecraft/mc-mods/shell-friends-tortoises/download/4528061","71","May 8, 2023","May 8, 2023","550.41 KB","1.19.2","Forge","Mods, MCreator, Biomes, Mobs, Dimensions"
"NewTown","resylok","/minecraft/mc-mods/newtown/download/4528049","35","May 8, 2023","May 8, 2023","118.77 KB","1.19.2","Forge","Mods, Armor, Tools, and Weapons, Adventure and RPG"
"More Fооds+","Floppicus","/minecraft/mc-mods/food-plus-gysara1555/download/4653408","156","May 8, 2023","Jul 19, 2023","527.38 KB","1.18.2","Forge","Mods, Armor, Tools, and Weapons, Addons, MCreator, Energy, Fluid, and Item Transport, Server Utility"
"LeegMenu - Leeg Academia Menu","dawhg_","/minecraft/mc-mods/leegmenu-leeg-academia-menu/download/4527905","19","May 8, 2023","May 8, 2023","624.99 KB","1.16.5","Forge","Mods, Utility & QoL, Server Utility"
"The AOTE Sword","thatpandaguuy","/minecraft/mc-mods/hypixel-skyblock-aspect-of-the-end/download/4527738","413","May 8, 2023","May 8, 2023","17.22 KB","1.19.4","Forge","Mods, MCreator, Armor, Tools, and Weapons, Magic"
"Hullabaloo","Gitko01","/minecraft/mc-mods/hullabaloo/download/4798823","660","May 8, 2023","Oct 14, 2023","295.25 KB","1.20.2","Fabric","Mods, Technology, Automation, Energy"
"EnvironmentZ Upgrade","TheSnippsStream","/minecraft/mc-mods/environmentz-1-19-4/download/4527708","253","May 8, 2023","May 8, 2023","230.10 KB","1.19.4","Fabric","Mods, Miscellaneous"
"Snake Genetics","feelsokayle","/minecraft/mc-mods/snake-genetics/download/4567960","1.3K","May 8, 2023","Jun 5, 2023","479.71 KB","1.18.2","Forge","Mods, MCreator, MCreator, Cosmetic, Education, Cosmetic"
"Hot Bath","crabmods","/minecraft/mc-mods/hotbath/download/4527741","346","May 8, 2023","May 8, 2023","568.42 KB","1.16.5","Forge","Mods, Adventure and RPG, Cosmetic"
"Husks Drop Zombie Heads","dragonfirry","/minecraft/mc-mods/husks-drop-zombie-heads/download/4584951","15.9K","May 8, 2023","Jun 13, 2023","5.55 KB","1.20.1","Forge","Mods, Mobs, Miscellaneous"
"Hungry Items","jayugg","/minecraft/mc-mods/hungry-items/download/4529276","103","May 8, 2023","May 9, 2023","66.74 KB","1.16.5","Forge","Mods, Armor, Tools, and Weapons, Utility & QoL"
"Creature-Spawner","edge0304","/minecraft/mc-mods/mc-spawner/download/4543221","51","May 8, 2023","May 19, 2023","533.28 KB","1.19.3","Forge","Mods, Armor, Tools, and Weapons, Utility & QoL"
"Fabric Seasons: Delight Compat","D4rkness_King","/minecraft/mc-mods/fabric-seasons-delight-compat/download/4533190","2.8M","May 8, 2023","May 11, 2023","38.18 KB","1.20.1","Fabric","Mods, Cosmetic, Utility & QoL, Addons"
"Towers of the Wild Modded","celsiusqc","/minecraft/mc-mods/towers-of-the-wild-modded/download/4802113","2.1M","May 7, 2023","Oct 16, 2023","254.40 KB","1.20.4","Forge","Mods, Dimensions, Structures, Adventure and RPG, Map and Information, World Gen"
"PianoCraft","funskydev","/minecraft/mc-mods/pianocraft/download/4527353","257","May 7, 2023","May 7, 2023","75.12 KB","1.19.4","Fabric","Mods, Cosmetic, Miscellaneous"
"KillToHeal","inxaneninja","/minecraft/mc-mods/killtoheal/download/4528162","155","May 7, 2023","May 8, 2023","46.53 KB","1.19.4","Fabric","Mods, Magic, Armor, Tools, and Weapons, Adventure and RPG, Utility & QoL, Food"
"Simply Loot Bags","AxolCraft25","/minecraft/mc-mods/simply-loot-bags/download/4530162","2.0K","May 7, 2023","May 9, 2023","314.27 KB","1.18.2","Forge","Mods, Miscellaneous, Storage, Ores and Resources"
"TKBS-No Pushy Water","TKBS","/minecraft/mc-mods/tkbs-no-pushy-water/download/4529150","117","May 7, 2023","May 9, 2023","665.09 KB","1.16.5","Forge","Mods, Biomes, World Gen, Utility & QoL"
"Vintage Vinyl! [FORGE]","RGthedestroyer","/minecraft/mc-mods/vintage-vinyl-forge/download/4527151","58","May 7, 2023","May 7, 2023","14.54 MB","1.19.2","Forge","Mods, MCreator, Map and Information, Technology"
"Eat an Omelette","Lupin","/minecraft/mc-mods/eat-an-omelette/download/4949584","577.0K","May 7, 2023","Dec 11, 2023","506.31 KB","1.20.4","Fabric","Mods, Adventure and RPG, Food, Farming, Food, Farming, Adventure and RPG"
"Revised Phantoms","InfernalEclipse","/minecraft/mc-mods/revised-phantoms/download/4778367","20.0K","May 7, 2023","Oct 2, 2023","125.35 KB","1.19.2","Forge","Mods, Armor, Tools, and Weapons, Mobs, Adventure and RPG, Utility & QoL, Food"
"Multipart Machines: Grinding","Grabolit","/minecraft/mc-mods/multipart-machines-grinding/download/5073729","28.9K","May 7, 2023","Feb 1, 2024","2.34 MB","1.20.1","Forge","Mods, Mobs, Automation, Technology, Ores and Resources, Cosmetic"
"Invisible Stuff","fpdalis","/minecraft/mc-mods/invisible-stuff/download/5063189","31","Jan 27, 2024","Jan 27, 2024","46.53 KB","1.20.1","Forge","Mods, Miscellaneous"
"No Phantoms","MoistRain","/minecraft/mc-mods/no-phantoms/download/5094624","1.1K","Jan 27, 2024","Feb 10, 2024","4.28 KB","1.16.5","Forge","Mods, Mobs"
"Weapons of the World","AstreaYT","/minecraft/mc-mods/weapons-of-the-world/download/5073876","164","Jan 27, 2024","Feb 1, 2024","1.20 MB","1.20.1","Forge","Mods, Armor, Tools, and Weapons, Adventure and RPG, MCreator"
"Tunahan's Weporany","MC_Moder","/minecraft/mc-mods/tunahans-weporany/download/5063041","16","Jan 27, 2024","Jan 27, 2024","185.13 KB","1.20.1","Forge","Mods, MCreator, Armor, Tools, and Weapons, Adventure and RPG"
"[ FORGE ] More Advancements: New Goals And Beyond","CiaosonoMemosoo","/minecraft/mc-mods/more-advancements-forge/download/5071542","54","Jan 27, 2024","Jan 31, 2024","88.45 KB","1.20.1","Forge","Mods, Miscellaneous, MCreator"
"Back to The Past","OxAweModded","/minecraft/mc-mods/back-to-the-past/download/5062908","43","Jan 27, 2024","Jan 27, 2024","7.30 KB","1.20.1","NeoForge Forge + 1","Mods, Armor, Tools, and Weapons, Bug Fixes"
"Viridescented<>","DodoLord","/minecraft/mc-mods/viridescent/download/5074818","64","Jan 27, 2024","Feb 1, 2024","11.93 MB","1.20.1","Forge","Mods, Technology, Redstone, MCreator"
"Block Portal","FlaFla458","/minecraft/mc-mods/block-portal/download/5062866","101","Jan 27, 2024","Jan 27, 2024","1.04 MB","1.20.1","Forge","Mods, Dimensions, MCreator, Addons"
"Quality Of The Craft","endexyz","/minecraft/mc-mods/quality-of-minecraft/download/5074930","18","Jan 27, 2024","Feb 1, 2024","109.31 KB","1.20.1","Forge","Mods, Utility & QoL, MCreator"
"MNS - Moog's Nether Structures","finndog_123","/minecraft/mc-mods/mns-moogs-nether-structures/download/5066956","12.8K","Jan 27, 2024","Jan 29, 2024","1.56 MB","1.20.2","Fabric","Mods, Adventure and RPG, World Gen, Structures, Cosmetic"
"Soothing Button","SonicallGameX","/minecraft/mc-mods/soothing-button/download/5085402","65","Jan 27, 2024","Feb 6, 2024","165.84 KB","1.20","Fabric","Mods, Cosmetic"
"No Elytra Damage","ulvards","/minecraft/mc-mods/no-elytra-damage/download/5062727","72","Jan 27, 2024","Jan 27, 2024","15.51 KB","1.20.1","Forge","Mods, MCreator, API and Library, Server Utility, Utility & QoL, Bug Fixes"
"JaizPvZ","Jaiz15","/minecraft/mc-mods/pvz-minecraft/download/5062715","103","Jan 27, 2024","Jan 27, 2024","123.62 KB","1.20.4","Fabric","Mods, World Gen, Mobs"
"[AQZL]Rebirth Coins","AblazeAQZL","/minecraft/mc-mods/aqzl-rebirth-coins/download/5062713","284","Jan 27, 2024","Jan 27, 2024","2.97 MB","1.16.5","Forge","Mods, Adventure and RPG, MCreator, Adventure and RPG, MCreator"
"twor-Reincarnation","AblazeAQZL","/minecraft/mc-mods/twor/download/5062701","293","Jan 27, 2024","Jan 27, 2024","1.26 MB","1.16.5","Forge","Mods, Armor, Tools, and Weapons, MCreator"
"Disable Elytra","ImSparkStreams","/minecraft/mc-mods/no-elytra-mod/download/5069521","28","Jan 27, 2024","Jan 30, 2024","7.03 KB","1.18.2","Forge","Mods, Utility & QoL, Armor, Tools, and Weapons, Adventure and RPG"
"This TNT Cannon","B_Kirill","/minecraft/mc-mods/this-tnt-cannon/download/5095757","83","Jan 27, 2024","Feb 10, 2024","331.71 KB","1.16.5","Forge","Mods, Utility & QoL, Armor, Tools, and Weapons, Addons, Miscellaneous"
"AnnoyingMobs","th_jaoshigan","/minecraft/mc-mods/annoyingmobs/download/5062690","18","Jan 27, 2024","Jan 27, 2024","8.09 MB","1.19.2","Forge","Mods, Adventure and RPG, Mobs, MCreator"
"Easy Discs","Dark_Dragon7697","/minecraft/mc-mods/easy-discs/download/5062420","17","Jan 27, 2024","Jan 27, 2024","12.24 KB","1.20.1","Forge","Mods, Utility & QoL, MCreator"
"Starvation Configured","HaipaDev","/minecraft/mc-mods/starvation-configured/download/5062402","17","Jan 27, 2024","Jan 27, 2024","48.71 KB","1.20.4","Fabric","Mods, MCreator, Food"
"Streive's Weapons","StreiveStudio","/minecraft/mc-mods/streives-weapons-mod/download/5067081","122","Jan 27, 2024","Jan 29, 2024","75.96 KB","1.19.4","Forge","Mods, Armor, Tools, and Weapons, Adventure and RPG"
"Killbind","Fusion_Flux","/minecraft/mc-mods/killbind/download/5062288","12","Jan 27, 2024","Jan 27, 2024","78.69 KB","1.20.1","Quilt","Mods, Utility & QoL"
"Turtle Wizard's Enchantments","TurtleW1zard69","/minecraft/mc-mods/turtle-wizards-enchantments/download/5066624","69","Jan 27, 2024","Jan 29, 2024","251.32 KB","1.20.1","Forge","Mods, Armor, Tools, and Weapons"
"Hit Particles","MoistRain","/minecraft/mc-mods/hit-particles/download/5065619","1.1K","Jan 27, 2024","Jan 28, 2024","7.28 KB","1.8.9","Forge","Mods, Armor, Tools, and Weapons"
"BlockInteraction","lonelyxiya","/minecraft/mc-mods/blockinteraction/download/5067310","43","Jan 27, 2024","Jan 29, 2024","6.21 KB","1.12.2","Forge","Mods, Armor, Tools, and Weapons"
"[Immersive Vehicles] Syndicate Motor Foundry","Kitsunami_","/minecraft/mc-mods/syndicate-motor-foundry/download/5104429","175","Jan 27, 2024","Feb 13, 2024","2.07 MB","1.12.2","Forge","Mods, Addons, Player Transport"
"Enhanced Crazy Swords","OxAweModded","/minecraft/mc-mods/enhanced-crazy-swords/download/5063910","40","Jan 27, 2024","Jan 28, 2024","103.63 KB","1.20.1","NeoForge Forge + 1","Mods, Magic, Adventure and RPG, Ores and Resources, Armor, Tools, and Weapons"
"SiriusFeathers","SiriusWolf","/minecraft/mc-mods/siriusfeathers/download/5100753","31","Jan 27, 2024","Feb 12, 2024","269.69 KB","1.20.1","Forge","Mods, Magic, Addons"
"Weapons More","DabTastic","/minecraft/mc-mods/weapons-more/download/5061972","10","Jan 27, 2024","Jan 27, 2024","132.22 KB","1.20.1","Forge","Mods, Armor, Tools, and Weapons"
"Bigger Lightning Storms","Daeddyy","/minecraft/mc-mods/bigger-lightning-storms/download/5061855","1.1K","Jan 27, 2024","Jan 27, 2024","4.45 KB","1.12.2","Forge","Mods, Miscellaneous"
"QSMP Bolas Gas Mask","Sombrinha","/minecraft/mc-mods/qsmp-bolas-gas-mask/download/5077418","182","Jan 26, 2024","Feb 3, 2024","1.17 MB","1.18.2","Forge","Mods, Adventure and RPG, Cosmetic, Armor, Tools, and Weapons"
"Compatible Reimagined Cave Dweller","FlamcO4","/minecraft/mc-mods/compatible-reimagined-cave-dweller/download/5061613","2.1K","Jan 26, 2024","Jan 26, 2024","1.84 MB","1.19.2","Forge","Mods, World Gen, Mobs"
"CREATION.JAR","FlamcO4","/minecraft/mc-mods/the-creation-a-swayle-and-flame-special/download/5061524","3.8K","Jan 26, 2024","Jan 26, 2024","2.06 MB","1.19.2","Forge","Mods, Mobs, World Gen"
"COPPER REVOLUTION VANILLA","ARMADILLOCRAFT","/minecraft/mc-mods/copper-revolution-vanilla/download/5065973","55","Jan 26, 2024","Jan 28, 2024","192.24 KB","1.20.1","Forge","Mods, MCreator, Magic"
"Wild Shrubs","TheAssassinYouTube","/minecraft/mc-mods/wild-shrubs/download/5067533","47","Jan 26, 2024","Jan 29, 2024","23.00 KB","1.20.1","Forge","Mods, Food, World Gen"
"Respawn Block","XyperCode","/minecraft/mc-mods/respawn-block/download/5061414","12","Jan 26, 2024","Jan 26, 2024","20.84 KB","1.19.2","Fabric Forge + 1","Mods, Miscellaneous"
"Revelationary Connector Patch [Deprecated]","jghunter48","/minecraft/mc-mods/revelationary-connector-patch/download/5061303","44","Jan 26, 2024","Jan 26, 2024","145.16 KB","1.20.1","Forge","Mods, Bug Fixes, API and Library"
"Decarlo","brickyboy09","/minecraft/mc-mods/decarlo/download/5061287","10","Jan 26, 2024","Jan 26, 2024","126.60 KB","1.19.2","Forge","Mods, Miscellaneous, Armor, Tools, and Weapons, Cosmetic"
"Erinium - Faction","JLSkyzer","/minecraft/mc-mods/erinium-faction/download/5078113","150","Jan 26, 2024","Feb 6, 2024","514.31 KB","1.20.1","NeoForge Forge + 1","Mods, Server Utility, MCreator"
"Several Furniture Crraft","HeyCronus","/minecraft/mc-mods/furniture-modcraft/download/5061499","279","Jan 26, 2024","Jan 26, 2024","546.24 KB","1.20.1","Forge","Mods, Food, Create, Cosmetic, MCreator, Addons"
"Derrasora","Tiger91","/minecraft/mc-mods/derrasora/download/5087652","26","Jan 26, 2024","Feb 7, 2024","568.07 KB","1.19.2","Forge","Mods, Adventure and RPG, MCreator"
"Steakchop","jethi_","/minecraft/mc-mods/steakchop/download/5061220","7","Jan 26, 2024","Jan 26, 2024","10.26 KB","1.20.1","Forge","Mods, Food"
"EC Aether Compat","Userofbricks","/minecraft/mc-mods/ec-aether-compat/download/5061224","600","Jan 26, 2024","Jan 26, 2024","577.30 KB","1.20.1","Forge","Mods, Armor, Tools, and Weapons, Addons, Adventure and RPG"
"Miki1106 Mod","miki1106","/minecraft/mc-mods/miki1106-mod/download/5065123","16","Jan 26, 2024","Jan 28, 2024","203.53 KB","1.16.5","Forge","Mods, Armor, Tools, and Weapons"
"Crystal Gems","PinkLasagna","/minecraft/mc-mods/crystal-gems/download/5061466","49","Jan 26, 2024","Jan 26, 2024","232.38 KB","1.20.1","Forge","Mods, MCreator"
"Exeris sword","_EXEris_","/minecraft/mc-mods/exeris-sword/download/5061108","9","Jan 26, 2024","Jan 26, 2024","23.94 KB","1.16.5","Forge","Mods, MCreator, Armor, Tools, and Weapons"
"modern structures","thobor123456","/minecraft/mc-mods/modern-structures-mod/download/5071356","235","Jan 26, 2024","Jan 31, 2024","226.75 KB","1.20.1","Forge","Mods, Structures, MCreator"
"NIGHTMARE.JAR FINAL EXPERIMENT","FlamcO4","/minecraft/mc-mods/nightmare-jar-final-release/download/5061353","3.2K","Jan 26, 2024","Jan 26, 2024","3.22 MB","1.19.2","Forge","Mods, Mobs, World Gen"
"Jukeboxfix","Mayaqq","/minecraft/mc-mods/jukeboxfix/download/5061039","58","Jan 26, 2024","Jan 26, 2024","12.79 KB","1.20.1","Fabric Quilt Forge + 2","Mods, Bug Fixes, Server Utility"
"davidnini29's workshop","davidnini29","/minecraft/mc-mods/davidnini29s-workshop/download/5067321","22","Jan 26, 2024","Jan 29, 2024","334.13 KB","1.20.1","Forge","Mods, Addons, Create"
"Create: Raw Brass","Luna","/minecraft/mc-mods/create-raw-brass/download/4878633","1.5K","Nov 18, 2023","Nov 19, 2023","39.37 KB","1.19.2","NeoForge Forge + 1","Mods, Ores and Resources, World Gen, Create, Cosmetic, Utility & QoL"
"Escaping The Backrooms","RichyPlays112","/minecraft/mc-mods/escaping-the-backrooms/download/4878450","401","Nov 18, 2023","Nov 18, 2023","291.02 KB","1.20.1","Forge","Mods, Miscellaneous, MCreator, Adventure and RPG"
"Axolotl's Advanced Peripherals Remastered","sleepy_bohr45","/minecraft/mc-mods/axolotls-advanced-peripherals-remastered/download/4894550","52","Nov 18, 2023","Nov 23, 2023","1000.18 KB","1.18.2","Fabric","Mods, Energy, Technology, Education, Automation"
"SunKie","BlackAngel_TV_","/minecraft/mc-mods/sunkie/download/4878183","7","Nov 18, 2023","Nov 18, 2023","394.99 KB","1.20.1","Fabric","Mods, Technology, Armor, Tools, and Weapons, Processing"
"FMNDIS","Radical","/minecraft/mc-mods/fmndis/download/5081053","2.3K","Nov 18, 2023","Feb 4, 2024","80.33 KB","1.19.2","Fabric","Mods, Adventure and RPG, Utility & QoL"
"Mon's Metals","Mon_deem","/minecraft/mc-mods/mons-metals/download/4880464","67","Nov 18, 2023","Nov 19, 2023","128.21 KB","1.19.2","Forge","Mods, MCreator, Addons"
"ExtremeQuestDeluxeXD","loulouaxel74","/minecraft/mc-mods/legendary-axmod/download/4884319","53","Nov 18, 2023","Dec 14, 2023","7.50 MB","1.20.1","Forge","Mods, Ores and Resources, Mobs, Biomes, Adventure and RPG, MCreator"
"EFM Render Fix","TheCatLord0","/minecraft/mc-mods/efm-render-fix/download/4877467","370","Nov 18, 2023","Nov 18, 2023","14.05 KB","1.20.1","Forge","Mods, Utility & QoL, Addons, Armor, Tools, and Weapons"
"Lapis bank","loving_yalow98","/minecraft/mc-mods/lapis-bank/download/4877388","19","Nov 18, 2023","Nov 18, 2023","32.20 KB","1.16.5","Forge","Mods, Storage, Utility & QoL"
"Create Redstone craft","100Sp4rk100","/minecraft/mc-mods/create-redstone-craft/download/4879703","981","Nov 18, 2023","Nov 19, 2023","10.90 KB","1.16.5","Forge","Mods, Create, Addons"
"Hellaverse","alexandrubarbosu","/minecraft/mc-mods/hellaverse/download/4877335","200","Nov 18, 2023","Nov 18, 2023","22.63 MB","1.19.4","Forge","Mods, Magic, Magic, MCreator, Dimensions, Adventure and RPG, Adventure and RPG, MCreator"
"Simple Combat Log","were_fox","/minecraft/mc-mods/simple-combat-log/download/4877270","152","Nov 18, 2023","Nov 18, 2023","29.12 KB","1.20.1","Forge","Mods, Utility & QoL, Server Utility"
"Naruto Anime (Naruto Origin)","SomeoneStoleMyName","/minecraft/mc-mods/naruto-anime-mod-naruto-origin/download/4877250","1.0K","Nov 18, 2023","Nov 18, 2023","88.67 MB","1.7.10","Forge","Mods, Miscellaneous"
"Parrying Daggers","Ihnvert","/minecraft/mc-mods/parrying-daggers/download/4877267","646","Nov 18, 2023","Nov 18, 2023","180.54 KB","1.19.2","Forge","Mods, Armor, Tools, and Weapons"
"Slabs Expanded [Fabric/Forge]","Mars","/minecraft/mc-mods/slabs-expanded-fabric-forge/download/4989410","4.8K","Nov 18, 2023","Jan 24, 2024","806.04 KB","1.20.4","Quilt Fabric + 1","Mods, Structures, Processing, Cosmetic, Utility & QoL, Redstone"
"Craftable Elytra \Shulker box","100Sp4rk100","/minecraft/mc-mods/cratable-elytra-shulker-box/download/4879823","44","Nov 18, 2023","Nov 19, 2023","19.85 KB","1.16.5","Forge","Mods, MCreator"
"Herobrine von Sparschweincrafter","Sparschweincrafter","/minecraft/mc-mods/herobrine-mod-von-sparschweincrafter/download/4894493","72","Nov 18, 2023","Nov 23, 2023","125.96 KB","1.20.1","Forge","Mods, MCreator, Mobs, Structures"
"Muddy's Proper Copper","Boldy","/minecraft/mc-mods/muddys-proper-copper/download/4909160","91","Nov 18, 2023","Nov 28, 2023","504.67 KB","1.20.2","Fabric","Mods, Ores and Resources, Armor, Tools, and Weapons, Utility & QoL, Mobs"
"Emeraleaf","ice_baron22","/minecraft/mc-mods/emeraleaf/download/4877096","16","Nov 18, 2023","Nov 18, 2023","77.79 KB","1.20.1","Forge","Mods, MCreator, Cosmetic"
"Countdown (pretty timer)","CweLTH","/minecraft/mc-mods/countdown-pretty-timer/download/4877079","99","Nov 18, 2023","Nov 18, 2023","409.40 KB","1.20.2","Forge","Mods, Utility & QoL, Map and Information"
"[BBrains] Unsupported Mods Fixes","dayd21twitch","/minecraft/mc-mods/bbrains-umfixes/download/5051892","3.1K","Nov 18, 2023","Feb 6, 2024","27.79 KB","1.7.10","Forge","Mods, Addons, Thaumcraft"
"Real Knife!","gaster0ut","/minecraft/mc-mods/real-knife/download/4994882","325","Nov 18, 2023","Dec 30, 2023","471.36 KB","1.19.2","Forge","Mods, Miscellaneous, Armor, Tools, and Weapons"
"heartOfTheSea_to_NetheriteScrap","LogicLeung","/minecraft/mc-mods/heartofthesea_to_netheritescrap/download/4876393","37","Nov 18, 2023","Nov 18, 2023","5.47 KB","1.19.2","Forge","Mods, Armor, Tools, and Weapons, MCreator"
"emplikac's flintlocks","emplikac","/minecraft/mc-mods/emplikacs-flintlocks/download/4876091","78","Nov 17, 2023","Nov 17, 2023","49.88 KB","1.18.2","Forge","Mods, MCreator, Armor, Tools, and Weapons"
"Driff's Weapons","driff_23","/minecraft/mc-mods/driffs-weapons/download/4881815","109","Nov 17, 2023","Nov 19, 2023","22.05 KB","1.20.1","Forge","Mods, MCreator, Armor, Tools, and Weapons"
"Ultimatus Modpack Additions","RichieB13579","/minecraft/mc-mods/ultimatus-modpack-additions/download/4875936","13","Nov 17, 2023","Nov 17, 2023","278.80 KB","1.18.2","Forge","Mods, Armor, Tools, and Weapons, MCreator"
"Item Wheel","PigCart","/minecraft/mc-mods/item-wheel/download/4891730","273","Nov 17, 2023","Nov 22, 2023","16.52 KB","1.20.1","Fabric","Mods, Cosmetic"
"Lucky rocks","restonic4","/minecraft/mc-mods/lucky-rocks/download/4883593","981","Nov 17, 2023","Nov 20, 2023","52.78 KB","1.20","Quilt","Mods, Magic, Adventure and RPG, Armor, Tools, and Weapons"
"Rispwind's Survival Spawn Eggs [FORGE/FABRIC]","Rispwind","/minecraft/mc-mods/rispwinds-survival-spawn-eggs/download/4885723","474","Nov 17, 2023","Nov 21, 2023","153.94 KB","1.20.1","Fabric","Mods, Utility & QoL, MCreator"
"Become a Herobrine","Savvada","/minecraft/mc-mods/become-a-herobrine-mod/download/4933404","1.1K","Nov 17, 2023","Dec 6, 2023","222.49 KB","1.20.1","Forge","Mods, MCreator, Technology"
"Bullets Boats","bulletpies","/minecraft/mc-mods/bullets-boats/download/4920282","1.4K","Nov 17, 2023","Dec 2, 2023","68.60 KB","1.20","Forge","Mods, Miscellaneous, Player Transport"
"CW The Flash Minecraft","__malachy__","/minecraft/mc-mods/cwtheflash/download/4905686","155","Nov 17, 2023","Nov 27, 2023","1.88 MB","1.19.4","Forge","Mods, Armor, Tools, and Weapons, Magic"
"Torch Disappearance","IlyaGamer123456","/minecraft/mc-mods/torch-dissappear/download/4877484","11","Nov 17, 2023","Nov 18, 2023","9.35 KB","1.19.4","Fabric","Mods, Miscellaneous"
"Rispwind's Mining Dimension [FORGE]","Rispwind","/minecraft/mc-mods/rispwinds-mining-dimension/download/4875378","811","Nov 17, 2023","Nov 17, 2023","170.54 KB","1.20.1","Forge","Mods, MCreator, World Gen, Dimensions, Ores and Resources"
"Exchange","thedoctorofdoctoring","/minecraft/mc-mods/exchange/download/4875402","356","Nov 17, 2023","Nov 17, 2023","10.42 KB","1.20.1","Forge","Mods, Armor, Tools, and Weapons"
"MultiRecipe - No More Conflicts!","Lupin","/minecraft/mc-mods/multirecipe/download/4940747","50.6K","Nov 17, 2023","Dec 8, 2023","142.84 KB","1.20.4","Forge","Mods, Utility & QoL, Miscellaneous, Adventure and RPG, API and Library, Server Utility"
"TheLastOfUs","RealFynnZ1","/minecraft/mc-mods/thelastofusmod/download/4875202","131","Nov 17, 2023","Nov 17, 2023","2.70 MB","1.16.5","Forge","Mods, Addons"
"Suspicious Pots","XxRexRaptorxX","/minecraft/mc-mods/suspicious-pots/download/5023557","479","Nov 17, 2023","Jan 11, 2024","331.13 KB","1.20.4","Forge","Mods, Adventure and RPG, Mobs, Utility & QoL"
"Simply Warfare","Screechu","/minecraft/mc-mods/simply-warfare/download/5024402","584","Nov 17, 2023","Jan 11, 2024","1.53 MB","1.20.1","Forge","Mods, Armor, Tools, and Weapons"
"Create: militarized","kenimoT","/minecraft/mc-mods/create-militarized/download/4989105","7.2K","Nov 17, 2023","Jan 21, 2024","167.56 KB","1.20.1","Forge","Mods, Addons, Armor, Tools, and Weapons, Create"
"Chiseled - Bricks & Tiles","Solarium","/minecraft/mc-mods/chiseled-bricks-and-tiles/download/4905987","3.1K","Nov 17, 2023","Nov 27, 2023","642.38 KB","1.20.1","Forge","Mods, Cosmetic, Addons"
"Ender IO: ReCreated","Ropyxa","/minecraft/mc-mods/ender-io-recreated/download/4874771","1.0K","Nov 17, 2023","Nov 17, 2023","11.81 KB","1.20.1","Forge","Mods, Utility & QoL, Addons, Create"
